"SEQN","RIDAGEYR","DMDHRAGE","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","INDHHIN2","INDFMIN2","INDFMPIR"
73557,69,69,13281.237386,13481.042095,1,112,4,4,0.84
73558,54,54,23682.057386,24471.769625,1,108,7,7,1.78
73559,72,72,57214.803319,57193.285376,1,109,10,10,4.51
73560,9,33,55201.178592,55766.512438,2,109,9,9,2.52
73561,73,78,63709.667069,65541.871229,2,116,15,15,5
73562,56,56,24978.144602,25344.992359,1,111,9,9,4.79
73563,0,31,18040.818432,17913.555067,1,105,15,15,5
73564,61,61,60325.095254,61758.65488,1,114,10,10,5
73565,42,42,23307.675629,0,2,106,15,15,5
73566,56,56,16351.78314,17480.115175,1,112,4,4,0.48
73567,65,65,34002.622995,34795.429301,2,112,3,3,1.2
73568,26,26,89514.433218,91523.516048,2,113,15,15,5
73570,9,43,11913.818655,12071.467415,2,115,5,5,0.84
73571,76,76,46988.470276,46190.114005,1,116,14,14,5
73572,10,30,11689.376908,12764.396165,2,111,2,2,0.41
73573,10,44,6403.212786,6460.787962,2,106,8,8,1.79
73574,33,33,14155.313,15397.219846,2,114,8,8,2.1
73575,1,19,7574.950558,7721.542396,2,116,3,3,0.76
73576,16,35,12433.748735,12665.77009,1,104,8,8,1.58
73577,32,32,36284.650273,39735.01707,2,118,5,2,0.29
73578,18,60,11592.846429,11758.631127,2,118,5,5,0.58
73579,12,38,63248.989522,70708.03403,1,110,10,10,2.97
73581,50,50,15902.418122,16764.260669,2,106,15,15,5
73582,23,23,30197.081366,31181.886343,1,108,3,3,0.69
73583,7,44,47574.649392,48196.409412,1,110,15,15,5
73584,13,38,72700.381729,72182.239545,1,105,9,9,3.07
73585,28,28,18063.143861,18590.965473,1,110,7,7,2.26
73586,4,33,11635.2408,13569.677359,1,116,6,6,1.27
73587,14,32,16220.740896,15523.094127,2,115,15,15,3.33
73588,11,31,8424.955223,8291.078844,1,109,6,6,1.54
73589,35,35,57197.640964,61374.100237,1,114,5,5,1.74
73590,2,24,12254.739004,12849.217833,1,106,5,5,0.8
73591,6,40,46374.787475,51133.1337,2,114,15,15,5
73592,29,24,64083.310917,68450.779634,2,107,12,6,2.14
73593,3,36,57942.40529,59265.550305,2,113,15,15,4.19
73594,23,40,38818.867179,45736.924249,2,112,5,5,0.45
73595,58,58,25352.868636,25027.722535,1,111,8,8,3.09
73596,57,59,16103.986881,16152.838244,2,106,15,15,5
73597,50,51,37889.887895,38185.196521,1,111,15,6,2.18
73599,13,39,25841.530979,27288.181037,2,107,8,6,1.52
73600,37,37,19725.408052,20786.063147,1,114,5,5,0.63
