"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",69,"4",1,"1","1","3","1","2",3,0,0,2,"1",69,"1","3","4",13281.237386,0.84
"1",72,"3",1,"1","1","4","1","2",2,0,0,2,"1",72,"1","4","1",57214.803319,4.51
"1",56,"1",1,"1","1","4","1","2",1,0,0,0,"1",56,"1","4","3",24978.144602,4.79
"1",28,"6",1,"2","1","4","1","2",2,0,0,0,"1",28,"2","4","1",18063.143861,2.26
"1",58,"2",1,"1","1","4","1","2",2,0,0,0,"1",58,"1","4","1",25352.868636,3.09
"2",50,"4",1,"2","1","4","1","2",1,0,0,0,"2",51,"1","5","3",37889.887895,2.18
"1",75,"3",1,"1","1","3","1","2",2,0,0,2,"2",70,"1","3","1",17787.940939,1.08
"1",43,"3",1,"1","1","5","1","2",6,2,2,0,"1",43,"1","5","1",73295.590253,2.03
"1",80,"3",1,"1","1","5","1","2",2,0,0,2,"2",78,"1","5","1",36117.581178,5
"1",72,"3",1,"1","1","5","1","2",2,0,0,2,"1",72,"1","5","1",57479.762312,5
"1",80,"3",1,"1","1","4","1","2",1,0,0,1,"1",80,"1","4","2",32868.046411,3
"2",63,"7",0,"1","1","4","1","2",1,0,0,1,"2",63,"1","4","2",37647.755368,2.18
"1",44,"4",1,"1","1","3","1","2",5,1,2,0,"1",44,"1","3","1",17166.56477,1.79
"1",35,"6",0,"1","1","5","1","2",3,1,0,0,"1",35,"1","5","1",14743.682904,5
"1",24,"3",1,"1","1","4","1","2",5,2,1,0,"2",30,"1","2","6",31174.074739,0.65
"2",30,"3",0,"1","1","4","1","2",7,2,4,0,"2",30,"1","4","5",28884.38512,1.43
"1",73,"3",1,"1","1","4","1","2",2,0,0,2,"1",73,"1","4","1",59598.753457,5
"1",45,"3",0,"1","1","5","1","2",4,0,2,0,"1",45,"1","5","1",122492.425862,5
"1",51,"3",1,"1","1","2","1","2",5,2,1,0,"1",51,"1","2","1",22004.084169,1.02
"1",54,"3",1,"1","1","5","1","2",3,0,0,0,"1",54,"1","5","1",90641.606893,5
"1",64,"4",1,"1","1","3","1","2",2,0,0,1,"2",57,"1","4","1",14122.831429,2
"1",25,"3",1,"1","1","5","1","2",1,0,0,0,"1",25,"1","5","5",92929.67535,4.35
"1",53,"4",0,"1","1","4","1","2",3,0,1,0,"1",53,"1","4","1",21581.588345,1.02
"1",48,"4",1,"1","1","3","1","2",3,0,1,0,"2",46,"1","5","1",38313.250912,3.03
"1",80,"3",0,"2","1","3","1","2",2,0,0,1,"1",80,"2","3","1",22729.702215,3.18
"2",64,"3",0,"1","1","4","1","2",1,0,0,1,"2",64,"1","4","2",26421.037692,1.22
"1",64,"3",1,"1","1","3","1","2",2,0,0,2,"1",64,"1","3","3",38259.331054,1.27
"1",54,"1",0,"1","1","4","1","2",3,0,1,0,"1",54,"1","4","1",26556.369566,0.64
"1",62,"3",0,"1","1","3","1","2",1,0,0,1,"1",62,"1","3","3",34002.622995,0.04
"1",68,"3",1,"1","1","3","1","2",1,0,0,1,"1",68,"1","3","5",67426.086907,1.08
"1",59,"3",1,"1","1","5","1","2",1,0,0,0,"1",59,"1","5","5",115051.288923,3.08
"2",57,"3",1,"1","1","4","1","2",3,0,0,0,"2",57,"1","4","1",20911.517791,1
"1",63,"4",1,"1","1","3","1","2",2,0,0,1,"1",63,"1","3","1",12192.846617,5
"1",77,"4",1,"1","1","4","1","2",2,0,0,2,"1",77,"1","4","1",19001.381414,4.45
"1",68,"3",1,"1","1","4","1","2",3,0,0,2,"1",68,"1","4","1",71246.333506,2.53
"2",77,"3",0,"1","1","5","1","2",1,0,0,1,"2",77,"1","5","3",38086.990026,1.89
"1",52,"4",1,"1","1","3","1","2",2,0,0,0,"1",52,"1","3","3",32501.193163,1.14
"1",77,"3",1,"1","1","5","1","2",2,0,0,2,"1",77,"1","5","1",53266.137366,5
"2",61,"3",0,"1","1","3","1","2",3,0,0,2,"1",64,"1","5","1",68603.550028,1.28
"1",48,"3",1,"1","1","3","1","2",5,0,3,0,"1",48,"1","3","3",23010.64255,1.04
"2",28,"3",0,"1","1","3","1","2",4,1,0,1,"2",61,"1","4","3",59843.172257,2.31
"1",66,"3",0,"1","1","5","1","2",2,0,0,2,"1",66,"1","5","1",114033.698335,5
"2",37,"1",0,"2","2","2","2","2",7,1,3,1,"2",37,"2","2","1",33190.678689,0.56
"1",66,"3",1,"1","1","4","1","2",1,0,0,1,"1",66,"1","4","3",89854.825647,1.74
"1",45,"4",1,"1","1","5","1","2",1,0,0,0,"1",45,"1","5","5",28939.276469,5
"2",64,"3",0,"1","1","4","1","2",2,0,0,1,"2",64,"1","4","2",46841.966041,1.02
"1",20,"3",0,"1","1","4","1","2",1,0,0,0,"1",20,"1","4","5",34134.506164,1.04
"1",66,"3",1,"1","1","5","1","2",2,0,0,2,"2",63,"2","5","1",95025.814862,5
"1",48,"4",1,"1","1","4","1","2",5,0,0,1,"1",48,"1","4","1",18058.792867,0.86
"2",68,"4",0,"1","1","3","1","2",3,0,0,1,"2",68,"1","3","4",18888.577559,0.77
"1",23,"3",0,"1","1","4","1","2",1,0,0,0,"1",23,"1","4","5",33348.223813,1.2
"2",71,"3",0,"1","1","4","1","2",2,0,0,2,"2",71,"1","4","1",63863.900338,2.58
"1",49,"6",0,"2","1","5","1","2",4,2,0,0,"1",49,"2","5","1",25524.499816,3.4
"1",45,"3",1,"1","1","4","1","2",2,0,0,0,"2",44,"1","5","5",22855.386414,1.63
"1",42,"4",0,"1","1","2","1","2",6,3,0,0,"1",42,"1","2","1",34060.314982,2.19
"1",80,"3",1,"1","1","5","1","2",1,0,0,1,"1",80,"1","5","2",41235.436372,5
"1",73,"3",1,"1","1","3","1","2",1,0,0,1,"1",73,"1","3","5",11017.775124,0.86
"1",80,"3",1,"1","1","3","1","2",2,0,0,2,"1",80,"1","3","1",31819.329646,1.78
"1",57,"1",0,"2","1","1","2","2",3,0,0,0,"1",32,"1","4","5",22251.652505,2.69
"1",63,"4",1,"1","1","4","1","2",1,0,0,1,"1",63,"1","4","4",16445.226661,1.29
"1",63,"3",1,"1","1","4","1","2",2,0,0,1,"1",63,"1","4","1",88531.364913,5
"1",80,"3",1,"1","1","4","1","2",2,0,0,2,"2",80,"1","3","1",27609.529867,1.39
"2",28,"2",0,"1","1","4","1","2",6,2,3,0,"2",28,"1","4","6",35194.786613,0.5
"1",27,"1",0,"2","2","1","2","2",5,2,1,0,"1",27,"2","1","6",32327.336211,0.64
"2",33,"4",0,"1","1","3","1","2",7,0,1,0,"2",57,"1","1","5",27973.203758,0.57
"2",51,"6",0,"2","2","4","1","2",3,0,0,0,"1",55,"2","5","1",23687.672227,3.03
"1",61,"4",0,"1","1","2","1","2",3,0,1,1,"1",61,"1","2","1",12290.824112,1.92
"1",32,"4",0,"1","1","5","1","2",1,0,0,0,"1",34,"1","5","3",26438.468888,5
"2",43,"2",0,"2","1","5","1","2",3,0,2,0,"2",43,"2","5","2",25833.628249,1.23
"2",51,"6",0,"2","2","1","1","2",6,1,0,0,"2",21,"2","4","5",11949.443084,0.5
"2",22,"4",0,"1","1","4","1","2",3,2,0,0,"2",22,"1","4","5",33399.668475,0.03
"2",51,"4",0,"1","1","2","1","2",2,0,0,1,"2",60,"1","4","1",34700.469555,1.53
"1",72,"3",0,"1","1","4","1","2",2,0,0,2,"1",72,"1","4","1",15838.41928,3.22
"1",77,"4",0,"1","1","3","1","2",2,0,0,2,"1",77,"1","3","1",9918.956424,1.93
"1",71,"3",1,"1","1","5","1","2",6,0,2,2,"1",71,"1","5","1",44731.686889,3.17
"2",46,"1",0,"2","2","2","1","2",4,1,0,0,"2",46,"2","2","3",35928.777397,0.84
"1",27,"3",0,"1","1","5","1","2",2,0,0,0,"1",27,"1","5","5",78135.833105,4.19
"1",60,"4",0,"1","1","3","1","2",2,0,0,1,"1",60,"1","3","3",16580.002221,3.74
"1",26,"3",0,"1","1","4","1","2",2,0,0,0,"1",26,"1","4","5",84378.552022,5
"1",46,"4",1,"2","1","5","1","2",1,0,0,0,"1",46,"2","5","1",38313.250912,5
"1",71,"3",1,"1","1","4","1","2",4,0,1,2,"1",71,"1","4","1",12268.903935,1.05
"1",22,"3",0,"1","1","5","1","2",1,0,0,0,"1",22,"1","5","5",27280.366961,0.87
