"RIAGENDR","RIDAGEYR","RIDRETH3","DMQMILIZ","DMDBORN4","DMDCITZN","DMDEDUC2","SIALANG","SIAINTRP","DMDFMSIZ","DMDHHSZA","DMDHHSZB","DMDHHSZE","DMDHRGND","DMDHRAGE","DMDHRBR4","DMDHREDU","DMDHRMAR","WTINT2YR","INDFMPIR"
"1",69,"4",1,"1","1","3","1","2",3,0,0,2,"1",69,"1","3","4",13281.237386,0.84
"1",54,"3",0,"1","1","3","1","2",4,0,2,0,"1",54,"1","3","1",23682.057386,1.78
"1",72,"3",1,"1","1","4","1","2",2,0,0,2,"1",72,"1","4","1",57214.803319,4.51
"2",73,"3",0,"1","1","5","1","2",2,0,0,2,"1",78,"1","5","1",63709.667069,5
"1",56,"1",1,"1","1","4","1","2",1,0,0,0,"1",56,"1","4","3",24978.144602,4.79
"2",61,"3",0,"1","1","5","1","2",1,0,0,1,"2",61,"1","5","2",60325.095254,5
"1",42,"2",0,"1","1","3","1","2",4,1,1,0,"1",42,"1","3","1",23307.675629,5
"2",56,"3",0,"1","1","3","1","2",7,3,0,0,"2",56,"1","3","3",16351.78314,0.48
"1",65,"3",0,"1","1","2","1","2",1,0,0,1,"1",65,"1","2","2",34002.622995,1.2
"2",26,"3",0,"1","1","5","1","2",3,0,0,0,"2",26,"1","5","5",89514.433218,5
"1",76,"3",0,"1","1","5","1","2",2,0,0,2,"1",76,"1","5","1",46988.470276,5
"2",33,"6",0,"2","1","5","1","2",4,1,1,0,"2",33,"2","5","1",14155.313,2.1
"1",32,"1",0,"2","2","1","2","1",5,3,2,0,"2",32,"2","3","6",36284.650273,0.29
"1",50,"6",0,"2","2","5","1","2",3,0,1,0,"1",50,"2","5","1",15902.418122,5
"2",23,"4",0,"1","1","4","1","2",3,1,0,0,"2",23,"1","4","6",30197.081366,0.69
"1",28,"6",1,"2","1","4","1","2",2,0,0,0,"1",28,"2","4","1",18063.143861,2.26
"1",35,"3",0,"1","1","3","1","2",1,0,0,0,"1",35,"1","3","3",57197.640964,1.74
"1",23,"2",0,"2","2","1","2","2",7,3,2,0,"1",40,"2","1","1",38818.867179,0.45
"1",58,"2",1,"1","1","4","1","2",2,0,0,0,"1",58,"1","4","1",25352.868636,3.09
"2",57,"6",0,"2","1","5","1","2",3,0,0,0,"1",59,"2","5","1",16103.986881,5
"2",50,"4",1,"2","1","4","1","2",1,0,0,0,"2",51,"1","5","3",37889.887895,2.18
"1",37,"4",0,"1","1","3","1","2",6,0,3,0,"1",37,"1","3","3",19725.408052,0.63
"1",35,"6",0,"2","2","5","1","2",4,2,0,0,"2",27,"2","5","1",16870.916427,3.77
"2",69,"3",0,"1","1","4","1","2",1,0,0,2,"1",68,"2","4","6",74230.336609,2.44
"1",75,"3",1,"1","1","3","1","2",2,0,0,2,"2",70,"1","3","1",17787.940939,1.08
