PCTPOV,POV,POP,time,RACE,us,RACE_CODE,RACE_NAME
22.4,39490000,176600000,1959,1,1,1,All Races
18.1,28480000,157000000,1959,3,1,3,White
55.1,9927000,18010000,1959,8,1,8,Black
22.2,39850000,179500000,1960,1,1,1,All Races
17.8,28310000,158900000,1960,3,1,3,White
21.9,39630000,181300000,1961,1,1,1,All Races
17.4,27890000,160300000,1961,3,1,3,White
21.0,38630000,184300000,1962,1,1,1,All Races
16.4,26670000,162800000,1962,3,1,3,White
19.5,36440000,187300000,1963,1,1,1,All Races
15.3,25240000,165300000,1963,3,1,3,White
19.0,36060000,189700000,1964,1,1,1,All Races
14.9,24960000,167300000,1964,3,1,3,White
17.3,33190000,191400000,1965,1,1,1,All Races
13.3,22500000,168700000,1965,3,1,3,White
14.7,28510000,193400000,1966,1,1,1,All Races
11.3,19290000,170200000,1966,3,1,3,White
41.8,8867000,21210000,1966,8,1,8,Black
14.2,27770000,195700000,1967,1,1,1,All Races
11.0,18980000,172000000,1967,3,1,3,White
39.3,8486000,21590000,1967,8,1,8,Black
12.8,25390000,197600000,1968,1,1,1,All Races
10.0,17400000,173700000,1968,3,1,3,White
34.7,7616000,21940000,1968,8,1,8,Black
12.1,24150000,199500000,1969,1,1,1,All Races
9.5,16660000,175300000,1969,3,1,3,White
32.2,7095000,22010000,1969,8,1,8,Black
12.6,25420000,202200000,1970,1,1,1,All Races
9.9,17480000,177400000,1970,3,1,3,White
33.5,7548000,22520000,1970,8,1,8,Black
12.5,25560000,204600000,1971,1,1,1,All Races
9.9,17780000,179400000,1971,3,1,3,White
32.5,7396000,22780000,1971,8,1,8,Black
11.9,24460000,206000000,1972,1,1,1,All Races
9.0,16200000,180100000,1972,3,1,3,White
33.3,7710000,23140000,1972,8,1,8,Black
22.8,2414000,10590000,1972,12,1,12,Hispanic (of any race)
11.1,22970000,207600000,1973,1,1,1,All Races
8.4,15140000,181200000,1973,3,1,3,White
31.4,7388000,23510000,1973,8,1,8,Black
21.9,2366000,10800000,1973,12,1,12,Hispanic (of any race)
11.2,23370000,209400000,1974,1,1,1,All Races
8.6,15740000,182400000,1974,3,1,3,White
30.3,7182000,23700000,1974,8,1,8,Black
23.0,2575000,11200000,1974,12,1,12,Hispanic (of any race)
12.3,25880000,210900000,1975,1,1,1,All Races
9.7,17770000,183200000,1975,3,1,3,White
31.3,7545000,24090000,1975,8,1,8,Black
26.9,2991000,11120000,1975,12,1,12,Hispanic (of any race)
11.8,24980000,212300000,1976,1,1,1,All Races
9.1,16710000,184200000,1976,3,1,3,White
31.1,7595000,24400000,1976,8,1,8,Black
24.7,2783000,11270000,1976,12,1,12,Hispanic (of any race)
11.6,24720000,213900000,1977,1,1,1,All Races
8.9,16420000,185300000,1977,3,1,3,White
31.3,7726000,24710000,1977,8,1,8,Black
22.4,2700000,12050000,1977,12,1,12,Hispanic (of any race)
11.4,24500000,215700000,1978,1,1,1,All Races
8.7,16260000,186500000,1978,3,1,3,White
30.6,7625000,24960000,1978,8,1,8,Black
21.6,2607000,12080000,1978,12,1,12,Hispanic (of any race)
11.7,26070000,222900000,1979,1,1,1,All Races
9.0,17210000,191700000,1979,3,1,3,White
31.0,8050000,25940000,1979,8,1,8,Black
21.8,2921000,13370000,1979,12,1,12,Hispanic (of any race)
13.0,29270000,225000000,1980,1,1,1,All Races
10.2,19700000,192900000,1980,3,1,3,White
32.5,8579000,26410000,1980,8,1,8,Black
25.7,3491000,13600000,1980,12,1,12,Hispanic (of any race)
14.0,31820000,227200000,1981,1,1,1,All Races
11.1,21550000,194500000,1981,3,1,3,White
34.2,9173000,26830000,1981,8,1,8,Black
26.5,3713000,14020000,1981,12,1,12,Hispanic (of any race)
15.0,34400000,229400000,1982,1,1,1,All Races
12.0,23520000,195900000,1982,3,1,3,White
35.6,9697000,27220000,1982,8,1,8,Black
29.9,4301000,14390000,1982,12,1,12,Hispanic (of any race)
15.2,35300000,231700000,1983,1,1,1,All Races
12.1,23980000,197500000,1983,3,1,3,White
35.7,9882000,27680000,1983,8,1,8,Black
28.0,4633000,16540000,1983,12,1,12,Hispanic (of any race)
14.4,33700000,233800000,1984,1,1,1,All Races
11.5,22960000,198900000,1984,3,1,3,White
33.8,9490000,28090000,1984,8,1,8,Black
28.4,4806000,16920000,1984,12,1,12,Hispanic (of any race)
14.0,33060000,236600000,1985,1,1,1,All Races
11.4,22860000,200900000,1985,3,1,3,White
31.3,8926000,28490000,1985,8,1,8,Black
29.0,5236000,18080000,1985,12,1,12,Hispanic (of any race)
13.6,32370000,238600000,1986,1,1,1,All Races
11.0,22180000,202300000,1986,3,1,3,White
31.1,8983000,28870000,1986,8,1,8,Black
27.3,5117000,18760000,1986,12,1,12,Hispanic (of any race)
13.4,32220000,241000000,1987,1,1,1,All Races
10.4,21200000,203600000,1987,3,1,3,White
32.4,9520000,29360000,1987,8,1,8,Black
16.1,1021000,6322000,1987,11,1,11,Asian and Pacific Islander
28.0,5422000,19400000,1987,12,1,12,Hispanic (of any race)
13.0,31750000,243500000,1988,1,1,1,All Races
10.1,20720000,205200000,1988,3,1,3,White
31.3,9356000,29850000,1988,8,1,8,Black
17.3,1117000,6447000,1988,11,1,11,Asian and Pacific Islander
26.7,5357000,20060000,1988,12,1,12,Hispanic (of any race)
12.8,31530000,246000000,1989,1,1,1,All Races
10.0,20790000,206900000,1989,3,1,3,White
30.7,9302000,30330000,1989,8,1,8,Black
14.1,939000,6673000,1989,11,1,11,Asian and Pacific Islander
26.2,5430000,20750000,1989,12,1,12,Hispanic (of any race)
13.5,33590000,248600000,1990,1,1,1,All Races
10.7,22330000,208600000,1990,3,1,3,White
31.9,9837000,30810000,1990,8,1,8,Black
12.2,858000,7014000,1990,11,1,11,Asian and Pacific Islander
28.1,6006000,21410000,1990,12,1,12,Hispanic (of any race)
14.2,35710000,251200000,1991,1,1,1,All Races
11.3,23750000,210100000,1991,3,1,3,White
32.7,10240000,31310000,1991,8,1,8,Black
13.8,996000,7192000,1991,11,1,11,Asian and Pacific Islander
28.7,6339000,22070000,1991,12,1,12,Hispanic (of any race)
14.8,38010000,256500000,1992,1,1,1,All Races
11.9,25260000,213100000,1992,3,1,3,White
33.4,10830000,32410000,1992,8,1,8,Black
12.7,985000,7779000,1992,11,1,11,Asian and Pacific Islander
29.6,7592000,25650000,1992,12,1,12,Hispanic (of any race)
15.1,39270000,259300000,1993,1,1,1,All Races
12.2,26230000,214900000,1993,3,1,3,White
33.1,10880000,32910000,1993,8,1,8,Black
15.3,1134000,7434000,1993,11,1,11,Asian and Pacific Islander
30.6,8126000,26560000,1993,12,1,12,Hispanic (of any race)
14.5,38060000,261600000,1994,1,1,1,All Races
11.7,25380000,216500000,1994,3,1,3,White
30.6,10200000,33350000,1994,8,1,8,Black
14.6,974000,6654000,1994,11,1,11,Asian and Pacific Islander
30.7,8416000,27440000,1994,12,1,12,Hispanic (of any race)
13.8,36430000,263700000,1995,1,1,1,All Races
11.2,24420000,218000000,1995,3,1,3,White
29.3,9872000,33740000,1995,8,1,8,Black
14.6,1411000,9644000,1995,11,1,11,Asian and Pacific Islander
30.3,8574000,28340000,1995,12,1,12,Hispanic (of any race)
13.7,36530000,266200000,1996,1,1,1,All Races
11.2,24650000,219700000,1996,3,1,3,White
28.4,9694000,34110000,1996,8,1,8,Black
14.5,1454000,10050000,1996,11,1,11,Asian and Pacific Islander
29.4,8697000,29610000,1996,12,1,12,Hispanic (of any race)
13.3,35570000,268500000,1997,1,1,1,All Races
11.0,24400000,221200000,1997,3,1,3,White
26.5,9116000,34460000,1997,8,1,8,Black
14.0,1468000,10480000,1997,11,1,11,Asian and Pacific Islander
27.1,8308000,30640000,1997,12,1,12,Hispanic (of any race)
12.7,34480000,271100000,1998,1,1,1,All Races
10.5,23450000,222800000,1998,3,1,3,White
26.1,9091000,34880000,1998,8,1,8,Black
12.5,1360000,10870000,1998,11,1,11,Asian and Pacific Islander
25.6,8070000,31520000,1998,12,1,12,Hispanic (of any race)
11.9,32790000,276200000,1999,1,1,1,All Races
9.8,22170000,225400000,1999,3,1,3,White
23.6,8441000,35760000,1999,8,1,8,Black
10.7,1285000,11960000,1999,11,1,11,Asian and Pacific Islander
22.7,7876000,34630000,1999,12,1,12,Hispanic (of any race)
11.3,31580000,278900000,2000,1,1,1,All Races
9.5,21650000,227800000,2000,3,1,3,White
22.5,7982000,35430000,2000,8,1,8,Black
9.9,1258000,12670000,2000,11,1,11,Asian and Pacific Islander
21.5,7747000,35960000,2000,12,1,12,Hispanic (of any race)
11.7,32910000,281500000,2001,1,1,1,All Races
9.9,22740000,229700000,2001,3,1,3,White
22.7,8136000,35870000,2001,8,1,8,Black
10.2,1275000,12470000,2001,11,1,11,Asian and Pacific Islander
21.4,7997000,37310000,2001,12,1,12,Hispanic (of any race)
12.1,34570000,285300000,2002,1,1,1,All Races
21.8,8555000,39220000,2002,12,1,12,Hispanic (of any race)
10.2,23470000,230400000,2002,2,1,2,White Alone
8.0,15570000,194100000,2002,4,1,4,"White Alone, Not Hispanic"
24.1,8602000,35680000,2002,7,1,7,Black Alone
10.1,1161000,11540000,2002,10,1,10,Asian Alone
23.9,8884000,37210000,2002,6,1,6,Black Alone or in Combination
10.0,1243000,12490000,2002,9,1,9,Asian Alone or in Combination
19.6,952000,4844000,2002,13,1,13,American Indian and Alaska Native Alone or in Combination
24.1,547000,2273000,2002,14,1,14,American Indian and Alaska Native Alone
14.7,686000,4670000,2002,16,1,16,Two or More Races
12.5,35860000,287700000,2003,1,1,1,All Races
22.5,9051000,40300000,2003,12,1,12,Hispanic (of any race)
10.5,24270000,231900000,2003,2,1,2,White Alone
8.2,15900000,194600000,2003,4,1,4,"White Alone, Not Hispanic"
24.4,8781000,35990000,2003,7,1,7,Black Alone
11.8,1401000,11860000,2003,10,1,10,Asian Alone
24.3,9108000,37500000,2003,6,1,6,Black Alone or in Combination
11.8,1527000,12890000,2003,9,1,9,Asian Alone or in Combination
18.6,940000,5061000,2003,13,1,13,American Indian and Alaska Native Alone or in Combination
23.8,532000,2240000,2003,14,1,14,American Indian and Alaska Native Alone
15.2,771000,5053000,2003,16,1,16,Two or More Races
12.7,37040000,290600000,2004,1,1,1,All Races
21.9,9122000,41690000,2004,12,1,12,Hispanic (of any race)
10.8,25330000,233700000,2004,2,1,2,White Alone
8.7,16910000,195100000,2004,4,1,4,"White Alone, Not Hispanic"
24.7,9014000,36430000,2004,7,1,7,Black Alone
9.8,1201000,12230000,2004,10,1,10,Asian Alone
24.7,9411000,38040000,2004,6,1,6,Black Alone or in Combination
9.7,1295000,13290000,2004,9,1,9,Asian Alone or in Combination
19.5,1027000,5269000,2004,13,1,13,American Indian and Alaska Native Alone or in Combination
25.2,584000,2319000,2004,14,1,14,American Indian and Alaska Native Alone
16.0,847000,5298000,2004,16,1,16,Two or More Races
12.6,36950000,293100000,2005,1,1,1,All Races
21.8,9368000,43020000,2005,12,1,12,Hispanic (of any race)
10.6,24870000,235400000,2005,2,1,2,White Alone
8.3,16230000,195600000,2005,4,1,4,"White Alone, Not Hispanic"
24.9,9168000,36800000,2005,7,1,7,Black Alone
11.1,1402000,12580000,2005,10,1,10,Asian Alone
24.7,9517000,38550000,2005,6,1,6,Black Alone or in Combination
10.9,1501000,13730000,2005,9,1,9,Asian Alone or in Combination
20.9,1093000,5233000,2005,13,1,13,American Indian and Alaska Native Alone or in Combination
26.9,603000,2238000,2005,14,1,14,American Indian and Alaska Native Alone
15.3,839000,5472000,2005,16,1,16,Two or More Races
12.3,36460000,296500000,2006,1,1,1,All Races
20.6,9243000,44780000,2006,12,1,12,Hispanic (of any race)
10.3,24420000,237600000,2006,2,1,2,White Alone
8.2,16010000,196000000,2006,4,1,4,"White Alone, Not Hispanic"
24.3,9048000,37310000,2006,7,1,7,Black Alone
10.3,1353000,13180000,2006,10,1,10,Asian Alone
24.2,9447000,39010000,2006,6,1,6,Black Alone or in Combination
10.1,1447000,14330000,2006,9,1,9,Asian Alone or in Combination
22.4,1148000,5133000,2006,13,1,13,American Indian and Alaska Native Alone or in Combination
29.3,744000,2536000,2006,14,1,14,American Indian and Alaska Native Alone
15.9,811000,5103000,2006,16,1,16,Two or More Races
12.5,37280000,298700000,2007,1,1,1,All Races
21.5,9890000,45930000,2007,12,1,12,Hispanic (of any race)
10.5,25120000,239100000,2007,2,1,2,White Alone
8.2,16030000,196600000,2007,4,1,4,"White Alone, Not Hispanic"
24.5,9237000,37670000,2007,7,1,7,Black Alone
10.2,1349000,13260000,2007,10,1,10,Asian Alone
24.4,9668000,39560000,2007,6,1,6,Black Alone or in Combination
10.2,1467000,14430000,2007,9,1,9,Asian Alone or in Combination
20.3,1076000,5292000,2007,13,1,13,American Indian and Alaska Native Alone or in Combination
23.7,649000,2742000,2007,14,1,14,American Indian and Alaska Native Alone
16.3,845000,5172000,2007,16,1,16,Two or More Races
13.2,39830000,301000000,2008,1,1,1,All Races
23.2,10990000,47400000,2008,12,1,12,Hispanic (of any race)
11.2,26990000,240500000,2008,2,1,2,White Alone
8.6,17020000,196900000,2008,4,1,4,"White Alone, Not Hispanic"
24.7,9379000,37970000,2008,7,1,7,Black Alone
11.8,1576000,13310000,2008,10,1,10,Asian Alone
24.6,9882000,40100000,2008,6,1,6,Black Alone or in Combination
11.6,1686000,14540000,2008,9,1,9,Asian Alone or in Combination
22.1,1211000,5471000,2008,13,1,13,American Indian and Alaska Native Alone or in Combination
27.1,770000,2845000,2008,14,1,14,American Indian and Alaska Native Alone
17.1,941000,5502000,2008,16,1,16,Two or More Races
14.3,43570000,303800000,2009,1,1,1,All Races
25.3,12350000,48810000,2009,12,1,12,Hispanic (of any race)
12.3,29830000,242000000,2009,2,1,2,White Alone
9.4,18530000,197200000,2009,4,1,4,"White Alone, Not Hispanic"
25.8,9944000,38560000,2009,7,1,7,Black Alone
12.5,1746000,14010000,2009,10,1,10,Asian Alone
25.9,10580000,40880000,2009,6,1,6,Black Alone or in Combination
12.4,1901000,15270000,2009,9,1,9,Asian Alone or in Combination
23.2,1218000,5244000,2009,13,1,13,American Indian and Alaska Native Alone or in Combination
27.4,732000,2671000,2009,14,1,14,American Indian and Alaska Native Alone
20.4,1168000,5715000,2009,16,1,16,Two or More Races
15.1,46340000,306100000,2010,1,1,1,All Races
26.5,13520000,50970000,2010,12,1,12,Hispanic (of any race)
13.0,31080000,240000000,2010,2,1,2,White Alone
9.9,19250000,194800000,2010,4,1,4,"White Alone, Not Hispanic"
27.4,10750000,39280000,2010,7,1,7,Black Alone
12.2,1899000,15610000,2010,10,1,10,Asian Alone
27.4,11600000,42390000,2010,6,1,6,Black Alone or in Combination
12.0,2064000,17240000,2010,9,1,9,Asian Alone or in Combination
25.6,1552000,6073000,2010,13,1,13,American Indian and Alaska Native Alone or in Combination
28.8,886000,3076000,2010,14,1,14,American Indian and Alaska Native Alone
21.0,1507000,7172000,2010,16,1,16,Two or More Races
15.0,46250000,308500000,2011,1,1,1,All Races
25.3,13240000,52280000,2011,12,1,12,Hispanic (of any race)
12.8,30850000,241300000,2011,2,1,2,White Alone
9.8,19170000,195000000,2011,4,1,4,"White Alone, Not Hispanic"
27.6,10930000,39610000,2011,7,1,7,Black Alone
12.3,1973000,16090000,2011,10,1,10,Asian Alone
27.5,11730000,42650000,2011,6,1,6,Black Alone or in Combination
12.3,2189000,17810000,2011,9,1,9,Asian Alone or in Combination
24.3,1515000,6224000,2011,13,1,13,American Indian and Alaska Native Alone or in Combination
28.6,917000,3210000,2011,14,1,14,American Indian and Alaska Native Alone
20.1,1443000,7166000,2011,16,1,16,Two or More Races
15.0,46500000,310600000,2012,1,1,1,All Races
25.6,13620000,53110000,2012,12,1,12,Hispanic (of any race)
12.7,30820000,242100000,2012,2,1,2,White Alone
9.7,18940000,195100000,2012,4,1,4,"White Alone, Not Hispanic"
27.2,10910000,40130000,2012,7,1,7,Black Alone
11.7,1921000,16420000,2012,10,1,10,Asian Alone
27.1,11810000,43580000,2012,6,1,6,Black Alone or in Combination
11.4,2072000,18170000,2012,9,1,9,Asian Alone or in Combination
28.0,1759000,6284000,2012,13,1,13,American Indian and Alaska Native Alone or in Combination
34.2,1184000,3459000,2012,14,1,14,American Indian and Alaska Native Alone
19.9,1462000,7349000,2012,16,1,16,Two or More Races
14.8,46270000,313100000,2013,1,1,1,All Races
14.5,45320000,313000000,2013,1,1,1,All Races
24.7,13360000,54180000,2013,12,1,12,Hispanic (of any race)
23.5,12740000,54150000,2013,12,1,12,Hispanic (of any race)
12.9,31290000,243300000,2013,2,1,2,White Alone
12.3,29940000,243100000,2013,2,1,2,White Alone
10.0,19550000,195100000,2013,4,1,4,"White Alone, Not Hispanic"
9.6,18800000,195200000,2013,4,1,4,"White Alone, Not Hispanic"
25.2,10190000,40500000,2013,7,1,7,Black Alone
27.2,11040000,40620000,2013,7,1,7,Black Alone
13.1,2255000,17260000,2013,10,1,10,Asian Alone
10.5,1785000,17060000,2013,10,1,10,Asian Alone
25.3,11160000,44150000,2013,6,1,6,Black Alone or in Combination
27.1,11960000,44110000,2013,6,1,6,Black Alone or in Combination
12.5,2398000,19180000,2013,9,1,9,Asian Alone or in Combination
10.4,1974000,19020000,2013,9,1,9,Asian Alone or in Combination
23.5,1372000,5831000,2013,13,1,13,American Indian and Alaska Native Alone or in Combination
23.4,1490000,6368000,2013,13,1,13,American Indian and Alaska Native Alone or in Combination
27.2,837000,3074000,2013,14,1,14,American Indian and Alaska Native Alone
27.3,914000,3344000,2013,14,1,14,American Indian and Alaska Native Alone
20.2,1562000,7739000,2013,16,1,16,Two or More Races
18.8,1450000,7731000,2013,16,1,16,Two or More Races
14.8,46660000,315800000,2014,1,1,1,All Races
23.6,13100000,55500000,2014,12,1,12,Hispanic (of any race)
12.7,31090000,244300000,2014,2,1,2,White Alone
10.1,19650000,195200000,2014,4,1,4,"White Alone, Not Hispanic"
26.2,10760000,41110000,2014,7,1,7,Black Alone
12.0,2137000,17790000,2014,10,1,10,Asian Alone
26.0,11580000,44570000,2014,6,1,6,Black Alone or in Combination
11.5,2268000,19690000,2014,9,1,9,Asian Alone or in Combination
22.8,1526000,6679000,2014,13,1,13,American Indian and Alaska Native Alone or in Combination
26.6,1013000,3808000,2014,14,1,14,American Indian and Alaska Native Alone
18.1,1352000,7473000,2014,16,1,16,Two or More Races
13.5,43120000,318500000,2015,1,1,1,All Races
21.4,12130000,56780000,2015,12,1,12,Hispanic (of any race)
11.6,28570000,245500000,2015,2,1,2,White Alone
9.1,17790000,195500000,2015,4,1,4,"White Alone, Not Hispanic"
24.1,10020000,41630000,2015,7,1,7,Black Alone
11.4,2078000,18240000,2015,10,1,10,Asian Alone
23.9,10800000,45230000,2015,6,1,6,Black Alone or in Combination
11.1,2234000,20040000,2015,9,1,9,Asian Alone or in Combination
21.2,1507000,7111000,2015,13,1,13,American Indian and Alaska Native Alone or in Combination
23.3,995000,4269000,2015,14,1,14,American Indian and Alaska Native Alone
17.4,1323000,7622000,2015,16,1,16,Two or More Races
12.7,40620000,319900000,2016,1,1,1,All Races
19.4,11140000,57560000,2016,12,1,12,Hispanic (of any race)
11.0,27110000,246000000,2016,2,1,2,White Alone
8.8,17260000,195200000,2016,4,1,4,"White Alone, Not Hispanic"
22.0,9234000,41960000,2016,7,1,7,Black Alone
10.1,1908000,18880000,2016,10,1,10,Asian Alone
21.8,9965000,45680000,2016,6,1,6,Black Alone or in Combination
9.9,2062000,20760000,2016,9,1,9,Asian Alone or in Combination
20.3,1387000,6836000,2016,13,1,13,American Indian and Alaska Native Alone or in Combination
21.9,811000,3701000,2016,14,1,14,American Indian and Alaska Native Alone
16.2,1312000,8094000,2016,16,1,16,Two or More Races
12.3,39560000,322500000,2017,1,1,1,All Races
12.3,39700000,322500000,2017,1,1,1,All Races
18.3,10790000,59050000,2017,12,1,12,Hispanic (of any race)
18.3,10820000,59050000,2017,12,1,12,Hispanic (of any race)
10.7,26440000,247300000,2017,2,1,2,White Alone
10.5,26030000,247300000,2017,2,1,2,White Alone
8.7,16990000,195300000,2017,4,1,4,"White Alone, Not Hispanic"
8.5,16620000,195200000,2017,4,1,4,"White Alone, Not Hispanic"
21.2,8993000,42470000,2017,7,1,7,Black Alone
21.7,9224000,42480000,2017,7,1,7,Black Alone
10.0,1953000,19480000,2017,10,1,10,Asian Alone
9.7,1891000,19530000,2017,10,1,10,Asian Alone
21.2,9820000,46390000,2017,6,1,6,Black Alone or in Combination
21.7,10050000,46340000,2017,6,1,6,Black Alone or in Combination
9.8,2104000,21510000,2017,9,1,9,Asian Alone or in Combination
9.6,2063000,21560000,2017,9,1,9,Asian Alone or in Combination
19.6,1356000,6914000,2017,13,1,13,American Indian and Alaska Native Alone or in Combination
20.3,1401000,6914000,2017,13,1,13,American Indian and Alaska Native Alone or in Combination
20.7,750000,3619000,2017,14,1,14,American Indian and Alaska Native Alone
21.8,790000,3616000,2017,14,1,14,American Indian and Alaska Native Alone
16.6,1408000,8475000,2017,16,1,16,Two or More Races
17.1,1441000,8423000,2017,16,1,16,Two or More Races
11.8,38150000,323800000,2018,1,1,1,All Races
17.6,10530000,59960000,2018,12,1,12,Hispanic (of any race)
10.1,24950000,247600000,2018,2,1,2,White Alone
8.1,15730000,194800000,2018,4,1,4,"White Alone, Not Hispanic"
20.8,8884000,42770000,2018,7,1,7,Black Alone
10.1,1996000,19770000,2018,10,1,10,Asian Alone
20.7,9695000,46830000,2018,6,1,6,Black Alone or in Combination
9.8,2166000,22050000,2018,9,1,9,Asian Alone or in Combination
19.6,1335000,6816000,2018,13,1,13,American Indian and Alaska Native Alone or in Combination
22.1,808000,3663000,2018,14,1,14,American Indian and Alaska Native Alone
15.7,1381000,8793000,2018,16,1,16,Two or More Races
10.5,33980000,324800000,2019,1,1,1,All Races
15.7,9545000,60600000,2019,12,1,12,Hispanic (of any race)
9.1,22510000,248100000,2019,2,1,2,White Alone
7.3,14150000,194600000,2019,4,1,4,"White Alone, Not Hispanic"
18.8,8073000,42970000,2019,7,1,7,Black Alone
7.3,1464000,19930000,2019,10,1,10,Asian Alone
18.7,8836000,47260000,2019,6,1,6,Black Alone or in Combination
7.1,1588000,22440000,2019,9,1,9,Asian Alone or in Combination
16.2,1062000,6541000,2019,13,1,13,American Indian and Alaska Native Alone or in Combination
18.1,677000,3735000,2019,14,1,14,American Indian and Alaska Native Alone
12.7,1135000,8920000,2019,16,1,16,Two or More Races
11.5,37550000,327600000,2020,1,1,1,All Races
17.0,10520000,61770000,2020,12,1,12,Hispanic (of any race)
10.1,25180000,249100000,2020,2,1,2,White Alone
8.2,16040000,195100000,2020,4,1,4,"White Alone, Not Hispanic"
19.6,8556000,43690000,2020,7,1,7,Black Alone
8.1,1645000,20350000,2020,10,1,10,Asian Alone
19.3,9311000,48260000,2020,6,1,6,Black Alone or in Combination
8.0,1827000,22920000,2020,9,1,9,Asian Alone or in Combination
16.4,1111000,6758000,2020,13,1,13,American Indian and Alaska Native Alone or in Combination
20.0,791000,3950000,2020,14,1,14,American Indian and Alaska Native Alone
13.1,1209000,9220000,2020,16,1,16,Two or More Races
11.6,37930000,328200000,2021,1,1,1,All Races
17.1,10690000,62480000,2021,12,1,12,Hispanic (of any race)
10.0,24920000,248900000,2021,2,1,2,White Alone
8.1,15800000,194300000,2021,4,1,4,"White Alone, Not Hispanic"
19.5,8583000,43980000,2021,7,1,7,Black Alone
9.3,1922000,20680000,2021,10,1,10,Asian Alone
19.3,9298000,48230000,2021,6,1,6,Black Alone or in Combination
9.0,2112000,23450000,2021,9,1,9,Asian Alone or in Combination
21.9,1550000,7066000,2021,13,1,13,American Indian and Alaska Native Alone or in Combination
24.3,998000,4109000,2021,14,1,14,American Indian and Alaska Native Alone
14.2,1298000,9166000,2021,16,1,16,Two or More Races
11.5,37920000,330100000,2022,1,1,1,All Races
16.9,10780000,63790000,2022,12,1,12,Hispanic (of any race)
10.5,26050000,248800000,2022,2,1,2,White Alone
8.6,16690000,193200000,2022,4,1,4,"White Alone, Not Hispanic"
17.1,7626000,44520000,2022,7,1,7,Black Alone
8.6,1866000,21590000,2022,10,1,10,Asian Alone
17.0,8353000,49100000,2022,6,1,6,Black Alone or in Combination
8.2,2002000,24310000,2022,9,1,9,Asian Alone or in Combination
20.0,1423000,7099000,2022,13,1,13,American Indian and Alaska Native Alone or in Combination
25.0,995000,3983000,2022,14,1,14,American Indian and Alaska Native Alone
12.2,1180000,9674000,2022,16,1,16,Two or More Races
11.1,36790000,331800000,2023,1,1,1,All Races
16.6,10890000,65400000,2023,12,1,12,Hispanic (of any race)
9.7,24290000,249500000,2023,2,1,2,White Alone
7.7,14890000,192600000,2023,4,1,4,"White Alone, Not Hispanic"
17.9,8020000,44870000,2023,7,1,7,Black Alone
9.1,1975000,21820000,2023,10,1,10,Asian Alone
17.8,8924000,50000000,2023,6,1,6,Black Alone or in Combination
8.9,2192000,24640000,2023,9,1,9,Asian Alone or in Combination
18.9,1338000,7074000,2023,13,1,13,American Indian and Alaska Native Alone or in Combination
21.2,851000,4021000,2023,14,1,14,American Indian and Alaska Native Alone
14.4,1478000,10250000,2023,16,1,16,Two or More Races
10.6,35880000,337300000,2024,1,1,1,All Races
15.0,10280000,68400000,2024,12,1,12,Hispanic (of any race)
9.2,23310000,252100000,2024,2,1,2,White Alone
7.6,14560000,192800000,2024,4,1,4,"White Alone, Not Hispanic"
18.4,8401000,45700000,2024,7,1,7,Black Alone
7.5,1753000,23530000,2024,10,1,10,Asian Alone
18.2,9236000,50670000,2024,6,1,6,Black Alone or in Combination
7.4,1976000,26750000,2024,9,1,9,Asian Alone or in Combination
17.6,1248000,7105000,2024,13,1,13,American Indian and Alaska Native Alone or in Combination
19.3,796000,4134000,2024,14,1,14,American Indian and Alaska Native Alone
13.3,1405000,10550000,2024,16,1,16,Two or More Races
