time,All,Asian,Black,Hispanic,White
1959,22.4,,55.1,,18.1
1960,22.2,,,,17.8
1961,21.9,,,,17.4
1962,21.0,,,,16.4
1963,19.5,,,,15.3
1964,19.0,,,,14.9
1965,17.3,,,,13.3
1966,14.7,,41.8,,11.3
1967,14.2,,39.3,,11.0
1968,12.8,,34.7,,10.0
1969,12.1,,32.2,,9.5
1970,12.6,,33.5,,9.9
1971,12.5,,32.5,,9.9
1972,11.9,,33.3,22.8,9.0
1973,11.1,,31.4,21.9,8.4
1974,11.2,,30.3,23.0,8.6
1975,12.3,,31.3,26.9,9.7
1976,11.8,,31.1,24.7,9.1
1977,11.6,,31.3,22.4,8.9
1978,11.4,,30.6,21.6,8.7
1979,11.7,,31.0,21.8,9.0
1980,13.0,,32.5,25.7,10.2
1981,14.0,,34.2,26.5,11.1
1982,15.0,,35.6,29.9,12.0
1983,15.2,,35.7,28.0,12.1
1984,14.4,,33.8,28.4,11.5
1985,14.0,,31.3,29.0,11.4
1986,13.6,,31.1,27.3,11.0
1987,13.4,16.1,32.4,28.0,10.4
1988,13.0,17.3,31.3,26.7,10.1
1989,12.8,14.1,30.7,26.2,10.0
1990,13.5,12.2,31.9,28.1,10.7
1991,14.2,13.8,32.7,28.7,11.3
1992,14.8,12.7,33.4,29.6,11.9
1993,15.1,15.3,33.1,30.6,12.2
1994,14.5,14.6,30.6,30.7,11.7
1995,13.8,14.6,29.3,30.3,11.2
1996,13.7,14.5,28.4,29.4,11.2
1997,13.3,14.0,26.5,27.1,11.0
1998,12.7,12.5,26.1,25.6,10.5
1999,11.9,10.7,23.6,22.7,9.8
2000,11.3,9.9,22.5,21.5,9.5
2001,11.7,10.2,22.7,21.4,9.9
2002,12.1,10.1,24.1,21.8,8.0
2003,12.5,11.8,24.4,22.5,8.2
2004,12.7,9.8,24.7,21.9,8.7
2005,12.6,11.1,24.9,21.8,8.3
2006,12.3,10.3,24.3,20.6,8.2
2007,12.5,10.2,24.5,21.5,8.2
2008,13.2,11.8,24.7,23.2,8.6
2009,14.3,12.5,25.8,25.3,9.4
2010,15.1,12.2,27.4,26.5,9.9
2011,15.0,12.3,27.6,25.3,9.8
2012,15.0,11.7,27.2,25.6,9.7
2013,14.8,13.1,25.2,24.7,10.0
2014,14.8,12.0,26.2,23.6,10.1
2015,13.5,11.4,24.1,21.4,9.1
2016,12.7,10.1,22.0,19.4,8.8
2017,12.3,10.0,21.2,18.3,8.7
2018,11.8,10.1,20.8,17.6,8.1
2019,10.5,7.3,18.8,15.7,7.3
2020,11.5,8.1,19.6,17.0,8.2
2021,11.6,9.3,19.5,17.1,8.1
2022,11.5,8.6,17.1,16.9,8.6
2023,11.1,9.1,17.9,16.6,7.7
2024,10.6,7.5,18.4,15.0,7.6
