time,group,PCTPOV,POV,POP,RACE_NAME
1959,All,22.4,39490000,176600000,All Races
1959,Black,55.1,9927000,18010000,Black
1959,White,18.1,28480000,157000000,White
1960,All,22.2,39850000,179500000,All Races
1960,White,17.8,28310000,158900000,White
1961,All,21.9,39630000,181300000,All Races
1961,White,17.4,27890000,160300000,White
1962,All,21,38630000,184300000,All Races
1962,White,16.4,26670000,162800000,White
1963,All,19.5,36440000,187300000,All Races
1963,White,15.3,25240000,165300000,White
1964,All,19,36060000,189700000,All Races
1964,White,14.9,24960000,167300000,White
1965,All,17.3,33190000,191400000,All Races
1965,White,13.3,22500000,168700000,White
1966,All,14.7,28510000,193400000,All Races
1966,Black,41.8,8867000,21210000,Black
1966,White,11.3,19290000,170200000,White
1967,All,14.2,27770000,195700000,All Races
1967,Black,39.3,8486000,21590000,Black
1967,White,11,18980000,172000000,White
1968,All,12.8,25390000,197600000,All Races
1968,Black,34.7,7616000,21940000,Black
1968,White,10,17400000,173700000,White
1969,All,12.1,24150000,199500000,All Races
1969,Black,32.2,7095000,22010000,Black
1969,White,9.5,16660000,175300000,White
1970,All,12.6,25420000,202200000,All Races
1970,Black,33.5,7548000,22520000,Black
1970,White,9.9,17480000,177400000,White
1971,All,12.5,25560000,204600000,All Races
1971,Black,32.5,7396000,22780000,Black
1971,White,9.9,17780000,179400000,White
1972,All,11.9,24460000,206000000,All Races
1972,Black,33.3,7710000,23140000,Black
1972,Hispanic,22.8,2414000,10590000,Hispanic (of any race)
1972,White,9,16200000,180100000,White
1973,All,11.1,22970000,207600000,All Races
1973,Black,31.4,7388000,23510000,Black
1973,Hispanic,21.9,2366000,10800000,Hispanic (of any race)
1973,White,8.4,15140000,181200000,White
1974,All,11.2,23370000,209400000,All Races
1974,Black,30.3,7182000,23700000,Black
1974,Hispanic,23,2575000,11200000,Hispanic (of any race)
1974,White,8.6,15740000,182400000,White
1975,All,12.3,25880000,210900000,All Races
1975,Black,31.3,7545000,24090000,Black
1975,Hispanic,26.9,2991000,11120000,Hispanic (of any race)
1975,White,9.7,17770000,183200000,White
1976,All,11.8,24980000,212300000,All Races
1976,Black,31.1,7595000,24400000,Black
1976,Hispanic,24.7,2783000,11270000,Hispanic (of any race)
1976,White,9.1,16710000,184200000,White
1977,All,11.6,24720000,213900000,All Races
1977,Black,31.3,7726000,24710000,Black
1977,Hispanic,22.4,2700000,12050000,Hispanic (of any race)
1977,White,8.9,16420000,185300000,White
1978,All,11.4,24500000,215700000,All Races
1978,Black,30.6,7625000,24960000,Black
1978,Hispanic,21.6,2607000,12080000,Hispanic (of any race)
1978,White,8.7,16260000,186500000,White
1979,All,11.7,26070000,222900000,All Races
1979,Black,31,8050000,25940000,Black
1979,Hispanic,21.8,2921000,13370000,Hispanic (of any race)
1979,White,9,17210000,191700000,White
1980,All,13,29270000,225000000,All Races
1980,Black,32.5,8579000,26410000,Black
1980,Hispanic,25.7,3491000,13600000,Hispanic (of any race)
1980,White,10.2,19700000,192900000,White
1981,All,14,31820000,227200000,All Races
1981,Black,34.2,9173000,26830000,Black
1981,Hispanic,26.5,3713000,14020000,Hispanic (of any race)
1981,White,11.1,21550000,194500000,White
1982,All,15,34400000,229400000,All Races
1982,Black,35.6,9697000,27220000,Black
