group,baseline,n_base,peak,peak_year,n_win,window,delta_pp
Hispanic,21.933333333333334,3,29.9,1982,4,Reagan,7.966666666666665
Black,30.96666666666667,3,35.7,1983,4,Reagan,4.733333333333334
All,11.566666666666666,3,15.2,1983,4,Reagan,3.633333333333333
White,8.866666666666667,3,12.1,1983,4,Reagan,3.2333333333333325
Asian,11.033333333333333,3,11.8,2003,3,DotCom,0.7666666666666675
All,11.966666666666667,3,12.5,2003,3,DotCom,0.5333333333333332
Black,24.066666666666666,3,24.4,2003,3,DotCom,0.33333333333333215
White,9.933333333333334,3,9.9,2001,3,DotCom,-0.033333333333333215
Hispanic,23.266666666666666,3,22.5,2003,3,DotCom,-0.7666666666666657
Hispanic,21.3,3,26.5,2010,3,GreatRec,5.199999999999999
Black,24.566666666666666,3,27.4,2010,3,GreatRec,2.833333333333332
All,12.466666666666667,3,15.1,2010,3,GreatRec,2.633333333333333
Asian,10.533333333333333,3,12.5,2009,3,GreatRec,1.9666666666666668
White,8.233333333333333,3,9.9,2010,3,GreatRec,1.6666666666666679
Asian,9.133333333333333,3,9.3,2021,2,COVID19,0.16666666666666785
White,8.033333333333333,3,8.2,2020,2,COVID19,0.16666666666666607
All,11.533333333333333,3,11.6,2021,2,COVID19,0.06666666666666643
Hispanic,17.2,3,17.1,2021,2,COVID19,-0.09999999999999787
Black,20.266666666666666,3,19.6,2020,2,COVID19,-0.6666666666666643
