recession,group,baseline_rate,peak_rate,peak_year,spike_abs,spike_rel,window_start,window_end,baseline_start,baseline_end
1980s Reagan Recession,Hispanic,21.933333333333334,29.9,1982,7.966666666666665,0.36322188449848014,1980,1983,1977,1979
1980s Reagan Recession,Black,30.96666666666667,35.7,1983,4.733333333333334,0.1528525296017223,1980,1983,1977,1979
1980s Reagan Recession,All,11.566666666666666,15.2,1983,3.633333333333333,0.3141210374639769,1980,1983,1977,1979
1980s Reagan Recession,White,8.866666666666667,12.1,1983,3.2333333333333325,0.36466165413533824,1980,1983,1977,1979
2001 Dot-com Crash,White,10.2,10.5,2003,0.3000000000000007,0.029411764705882425,2001,2003,1997,2000
2001 Dot-com Crash,All,12.3,12.5,2003,0.1999999999999993,0.01626016260162596,2001,2003,1997,2000
2001 Dot-com Crash,Asian,11.775,11.8,2003,0.025000000000000355,0.002123142250530816,2001,2003,1997,2000
2001 Dot-com Crash,Black,24.675,24.35,2003,-0.3249999999999993,-0.013171225937183355,2001,2003,1997,2000
2001 Dot-com Crash,Hispanic,24.225,21.4,2001,-2.825000000000003,-0.11661506707946348,2001,2003,1997,2000
2008–2010 Great Recession,Two+,15.833333333333334,21,2010,5.166666666666666,0.32631578947368417,2008,2010,2005,2007
2008–2010 Great Recession,Hispanic,14.766666666666667,18.2,2010,3.433333333333332,0.23250564334085766,2008,2010,2005,2007
2008–2010 Great Recession,AIAN,23.916666666666668,27.200000000000003,2010,3.283333333333335,0.13728222996515685,2008,2010,2005,2007
2008–2010 Great Recession,Black,24.5,27.4,2010,2.8999999999999986,0.11836734693877546,2008,2010,2005,2007
2008–2010 Great Recession,All,12.466666666666667,15.1,2010,2.633333333333333,0.21122994652406413,2008,2010,2005,2007
2008–2010 Great Recession,White,10.466666666666667,13,2010,2.533333333333333,0.24203821656050953,2008,2010,2005,2007
2008–2010 Great Recession,Asian,10.466666666666667,12.45,2009,1.9833333333333325,0.18949044585987254,2008,2010,2005,2007
2020 COVID-19,White,9.933333333333334,10.1,2020,0.16666666666666607,0.016778523489932827,2020,2020,2017,2019
2020 COVID-19,Hispanic,12.6,12.6,2020,0,0,2020,2020,2017,2019
2020 COVID-19,All,11.533333333333333,11.5,2020,-0.033333333333333215,-0.002890173410404614,2020,2020,2017,2019
2020 COVID-19,Black,20.316666666666666,19.450000000000003,2020,-0.8666666666666636,-0.04265791632485629,2020,2020,2017,2019
2020 COVID-19,Asian,8.975,8.05,2020,-0.9249999999999989,-0.10306406685236758,2020,2020,2017,2019
2020 COVID-19,AIAN,19.533333333333335,18.2,2020,-1.3333333333333357,-0.06825938566552912,2020,2020,2017,2019
2020 COVID-19,Two+,15.083333333333334,13.1,2020,-1.9833333333333343,-0.13149171270718238,2020,2020,2017,2019
